text,label
"I hate this app, it's so buggy.","negative"
"Love the new update, smooth and fast!","positive"
"Service is okay, nothing special.","neutral"
"Absolutely terrible support; waited for hours.","negative"
"This feature saved me so much time.","positive"
"Not impressed with the recent changes.","negative"
"Thanks for listening to feedback.","positive"
"The website loads slowly today.","negative"
"It's fine overall, could be better.","neutral"
"Great UX and performance now.","positive"
"Why does it crash every time I open it?","negative"
"Decent experience, no complaints.","neutral"
"Best release so far! Kudos team.","positive"
"Disappointed with the quality.","negative"
"Works as expected.","neutral"
"Super happy with the latest improvements.","positive"
"This is unacceptable, please fix asap.","negative"
"Meh, it's alright.","neutral"
"Exceptional service, 10/10!","positive"
"Annoying ads ruin the experience.","negative"
